headlines,body
"ओली, देउवा र दाहालबीच भेटवार्ता हुँदै","संघीय संसद् लगायतका विषयमा छलफल गर्न प्रधानमन्त्री केपी शर्मा ओली, कांग्रेस सभापति शेरबहादुर देउवा र प्रमुख प्रतिपक्षी दलका नेता माओवादी अध्यक्ष पुष्पकमल दाहालबीच भेटवार्ता हुँदै छ ।  "
कानुन व्यवसायीबाट हुने अनुशासनहीन काम रोक्ने विधेयक ल्याइयो : मन्त्री चौरसिया,"कानुन, न्याय तथा संसदीय मामिलामन्त्री अजयकुमार चौरसियाले कानुन व्यवसायीबाट हुने अनुशासनहीन कामलाई रोक्नका लागि सरकारले विधेयक ल्याएको बताएका छन् ।  "
प्रचण्डलाई धेरैतिर खोजी गर्दा पनि फेला पर्नुभएन : प्रधानमन्त्री ओली,प्रधानमन्त्री केपी शर्मा ओलीले प्रतिनिधिसभामा प्रमुख प्रतिपक्षी दलका नेता पुष्पकमल दाहालसँग भेटका लागि सम्पर्क नभइरहेको बताएका छन् । संसद्मा जारी अवरोध हटाउनेबारे आफूले खोजी गरिरहेको तर सम्पर्क हुन नसकेको ओलीले बताएका हुन् ।  
सुदूरपश्चिमका पूर्वमुख्यमन्त्री सोडारीविरुद्ध भ्रष्टाचार मुद्दा दायर,सुदूरपश्चिम प्रदेशका पूर्वमुख्यमन्त्री एवं प्रदेश सांसद दीर्घबहादुर सोडारीविरुद्ध भ्रष्टाचार मुद्दा दायर भएको छ । 
"सांसदलाई प्रधानमन्त्रीको निर्देशन : भोलि संसद् चल्छ, तयार भएर बस्नुस्",प्रधानमन्त्री एवं एमाले अध्यक्ष केपी शर्मा ओलीले गृहमन्त्री रमेश लेखकको राजीनामालाई अनावश्यक विषय बनाएर प्रतिपक्षले सदन अवरोध गर्नु लोकतन्त्रविपरीत भएको बताएका छन् । 
"सार्वजनिक सवारी बन्दको असर : बढी मारमा बिरामी, ट्याक्सीमा मनपरी भाडा","नेपाल यातायात व्यवसायी राष्ट्रिय महासंघले देशभर चल्ने छोटा, मध्यम र लामा दुरीका सवारीसाधन ठप्प पारेपछि त्यसको सोझो मार सर्वसाधारणलाई परेको छ । अस्पताल हिँडेका, विद्यार्थी र ज्यालामजदुरी गरेर छाक टार्नेहरु बन्दको बढी मारमा परेका छन् । "
सरकार-यातायात व्यवसायीबीच दाेस्राे चरणकाे वार्ता हुँदै,आज बिहान सरकारसँग वार्तामा बसेका यातायात व्यवसायीहरु सरकारसँग दोस्रो चरणको वार्तामा बस्ने भएका छन् । नेपाल यातायात व्यवसायी राष्ट्रिय महासंघका अध्यक्ष विजयबहादुर स्वारले साढे २ बजे भौतिक पूर्वाधार तथा यातायात मन्त्रालयमा वार्ता हुने तयारी भएको बताए । 
चीन भ्रमण सकेर स्वदेश फर्किइन् पूर्वराष्ट्रपति भण्डारी,पूर्वराष्ट्रपति विद्यादेवी भण्डारी स्वदेश फर्किएकी छन् । चीन सरकार र चिनियाँ कम्युनिस्ट पार्टीको विदेश विभागको निमन्त्रणामा चीन गएकी आज बिहान स्वदेश फर्किएकी हुन् । 
नोटमा पृथ्वीनारायण शाहको तस्बिर राख्न एमाले सांसद सूर्य थापाको प्रस्ताव,नेकपा एमालेका सांसद सूर्य थापाले नेपाली नोटमा राष्ट्रनिर्माता पृथ्वीनारायण शाहको तस्बिर राख्न प्रस्ताव गरेका छन् । 
एमाले संसदीय दलको बैठक बस्दै,नेकपा एमाले संसदीय दलको बैठक आज दिउँसो बस्ने भएको छ । नयाँ बानेश्वरस्थित सङ्घीय संसद भवनको लोत्से हलमा दिउँसो १ बजे बस्ने बैठकमा संसदमा यही जेठ १५ गते प्रस्तुत बजेट र सासामयिक विषयमा छलफल हुने मुख्य सचेतक महेशकुमार बर्तौलाले जानकारी दिए। 
